id;name;description;reference;start_date;end_date;is_completed
1;Home;Corporate Human;payment;2023-04-26T14:08:27;2023-04-26T19:15:27;false
2;Baby Ergonomic moderator;optimal uniform port;Savings open-source;2023-04-27T05:01:32;2023-04-26T13:58:05;false
3;Bedfordshire;Consultant;Direct Sausages Plastic;2023-04-26T17:43:47;2023-04-27T02:12:31;true
4;protocol access;program redundant Associate;indigo;2023-04-27T06:16:57;2023-04-26T14:46:36;true
5;Intuitive customized Fantastic;open-source;Egypt teal New;2023-04-27T00:53:21;2023-04-27T12:13:50;true
6;attitude;card;Security Borders;2023-04-26T15:12:27;2023-04-26T15:20:04;false
7;Mexico Keyboard Beauty;Credit Bike platforms;portals Ohio withdrawal;2023-04-27T04:43:10;2023-04-27T05:03:41;false
8;Director auxiliary;cyan;Beauty;2023-04-27T09:03:01;2023-04-27T02:01:06;false
9;Man driver firewall;virtual e-tailers Bedfordshire;Cheese application back-end;2023-04-27T06:50:18;2023-04-27T04:05:20;true
10;Toys;primary Concrete matrix;alarm GB Refined;2023-04-26T22:57:42;2023-04-27T06:58:12;true
