id;project_name;description;isactive;created_by;created_at;updated_by;updated_at
1;contextually-based Alaska Fresh;Table Micronesia;false;45601;2023-04-27T11:58:22;97216;2023-04-26T19:42:51
2;Kansas Garden;Engineer;false;86518;2023-04-26T19:47:24;42238;2023-04-27T03:34:29
3;Soft;Sleek Assistant Bike;false;52464;2023-04-27T05:06:56;65745;2023-04-26T18:37:47
4;optical;vortals revolutionary;false;7336;2023-04-27T06:00:57;84929;2023-04-27T10:55:40
5;Supervisor index Diverse;Brand copying;true;47224;2023-04-27T10:58:35;65358;2023-04-27T01:15:03
6;Azerbaijanian Research Optional;multi-byte iterate;false;46216;2023-04-26T21:20:06;96363;2023-04-27T06:26:30
7;Euro;firewall ADP International;true;23756;2023-04-26T15:09:11;91292;2023-04-27T13:21:15
8;Gloves violet Account;pink;true;72902;2023-04-27T08:47:24;75745;2023-04-26T19:31:48
9;port Computer;Central Mouse;true;43635;2023-04-26T14:41:07;51024;2023-04-27T03:16:23
10;Vision-oriented empowering auxiliary;Account withdrawal;false;36697;2023-04-26T21:41:10;78622;2023-04-26T21:51:26
