id;template_name;created_at;created_by;company_id
1;Borders Computer digital;2023-04-27T09:37:02;38952;1
2;Brand Practical;2023-04-26T18:51:06;62529;2
3;generate navigate generating;2023-04-27T08:49:17;30771;3
4;Incredible Mobility withdrawal;2023-04-27T09:33:34;76785;4
5;District productize;2023-04-27T05:50:01;95890;5
6;synthesize magenta Squares;2023-04-27T12:46:23;27735;6
7;monitor Assistant;2023-04-27T10:36:14;47402;7
8;value-added connect;2023-04-27T04:26:10;7480;8
9;CSS;2023-04-26T16:52:33;35337;9
10;invoice front-end Kids;2023-04-27T12:49:37;50602;10
